任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
,麻煩(˙ㄈㄢ),麻煩(˙ㄈㄢ),"máfan ",N,ㄇㄚˊ　˙ㄈㄢ,基-282,282
,偷,偷,"tōu ",V,ㄊㄡ,基-283,283
,錢包,錢包,"qiánbāo ",N,ㄑㄧㄢˊ　ㄅㄠ,基-284,284
,拉,拉,"lā ",V,ㄌㄚ,基-285,285
,小偷,小偷,"xiǎotōu ",N,ㄒㄧㄠˇ　ㄊㄡ,基-286,286
,滿,滿,"mǎn ",Vp,ㄇㄢˇ,基-287,287
,丟,丟,"diū ",Vp,ㄉㄧㄡ,基-288,288
,啊,啊,"ā ",Ptc,ㄚ,基-289,289
旅行,汽車,汽車,"qìchē ",N,ㄑㄧˋ　ㄔㄜ,基-290,290
,輛,輛,"liàng ",M,ㄌㄧㄤˋ,基-291,291
,船/船兒,船/船兒,chuán/chuánr,N,ㄔㄨㄢˊ/ㄔㄨㄢˊㄦ,基-292,292
,停車場,停車場,"tíngchēchăng ",N,ㄊㄧㄥˊ　ㄔㄜ　ㄔㄤˇ,基-293,293
,搭,搭,"dā ",V,ㄉㄚ,基-294,294
,起飛,起飛,"qĭfēi ",Vp,ㄑㄧˇ　ㄈㄟ,基-295,295
,出,出,"chū ",V,ㄔㄨ,基-296,296
,出來,出來,"chūlái ",Vi,ㄔㄨ　ㄌㄞˊ,基-297,297
,進,進,"jìn ",V,ㄐㄧㄣˋ,基-298,298
,進去,進去,"jìnqù ",Vi,ㄐㄧㄣˋ　ㄑㄩˋ,基-299,299
,回去(˙ㄑㄩ),回去(˙ㄑㄩ),huíqu,Vi,ㄏㄨㄟˊ　˙ㄑㄩ,基-300,300
,路口,路口,"lùkǒu ",N,ㄌㄨˋ　ㄎㄡˇ,基-301,301
,紅綠燈,紅綠燈,"hónglǜdēng ",N,ㄏㄨㄥˊ　ㄌㄩˋ　ㄉㄥ,基-302,302
,橋,橋,"qiáo ",N,ㄑㄧㄠˊ,基-303,303
,左,左,zuǒ,N,ㄗㄨㄛˇ,基-304,304
,右,右,yòu,N,ㄧㄡˋ,基-305,305
,裡,裡,"lǐ ",N,ㄌㄧˇ,基-306,306
,下,下,"xià ",V,ㄒㄧㄚˋ,基-307,307
,上,上,"shàng ",V,ㄕㄤˋ,基-308,308
